Frame, Keypoints, Bounding Boxes, Confidence Scores, Classes
0, [[[709.6782836914062, 128.88262939453125], [754.0595703125, 90.65399169921875], [659.9464721679688, 94.8695068359375], [813.4784545898438, 137.56317138671875], [600.2918090820312, 149.66458129882812], [943.9601440429688, 411.87664794921875], [487.17047119140625, 414.8376159667969], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [368.0, 6.0, 1083.0, 711.0], 0.9041202664375305, 0.0
0, [[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [1229.37255859375, 319.73797607421875], [0.0, 0.0], [1230.52490234375, 649.9778442382812], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [1164.0, 14.0, 1280.0, 708.0], 0.7736448645591736, 0.0
0, [[[1079.1898193359375, 281.2010803222656], [1093.2242431640625, 269.3915710449219], [1068.873291015625, 269.3265380859375], [1122.01953125, 276.8002014160156], [1057.651611328125, 276.0626525878906], [1153.862548828125, 339.5961608886719], [1033.785400390625, 328.6312561035156], [0.0, 0.0], [986.2258911132812, 362.961181640625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [984.0, 219.0, 1163.0, 370.0], 0.6914450526237488, 0.0
0, [[[942.7122192382812, 300.11590576171875], [946.5643920898438, 285.82421875], [926.8642578125, 286.3426513671875], [0.0, 0.0], [886.9320068359375, 286.26507568359375], [959.3001708984375, 347.63800048828125], [865.47265625, 350.17669677734375], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [857.0, 216.0, 1010.0, 428.0], 0.6492128968238831, 0.0
0, [[[1080.3060302734375, 281.05908203125], [1095.800048828125, 269.43621826171875], [1070.4627685546875, 268.0379638671875], [1124.3280029296875, 278.2651672363281], [1057.394775390625, 274.9235534667969], [1155.278076171875, 344.61993408203125], [1030.412353515625, 335.22247314453125], [1164.8046875, 421.918212890625], [995.44580078125, 397.9489440917969], [0.0, 0.0], [1051.476806640625, 346.73614501953125], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [983.0, 216.0, 1171.0, 431.0], 0.2668116092681885, 0.0
1, [[[708.6429443359375, 127.6771240234375], [754.2728881835938, 88.87979125976562], [659.7192993164062, 92.59332275390625], [814.5755004882812, 135.47161865234375], [600.1515502929688, 145.65036010742188], [945.544677734375, 406.8835754394531], [484.6299743652344, 409.6601257324219], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [369.0, 8.0, 1085.0, 711.0], 0.9060236811637878, 0.0
1, [[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [1230.1578369140625, 313.3351745605469], [0.0, 0.0], [1228.22314453125, 641.70263671875], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [1165.0, 18.0, 1280.0, 709.0], 0.7485541105270386, 0.0
1, [[[1078.7357177734375, 280.57000732421875], [1092.262939453125, 268.365478515625], [1068.2353515625, 268.9495544433594], [1121.107666015625, 274.5201110839844], [1058.1964111328125, 275.94476318359375], [1152.917236328125, 335.11614990234375], [1043.857421875, 326.6196594238281], [0.0, 0.0], [992.757568359375, 352.58221435546875], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [980.0, 217.0, 1167.0, 363.0], 0.650032639503479, 0.0
1, [[[947.2517700195312, 290.90081787109375], [949.2177124023438, 278.8626708984375], [933.0780029296875, 278.95281982421875], [0.0, 0.0], [894.09814453125, 286.0540771484375], [951.998046875, 349.5616455078125], [874.3111572265625, 353.7664489746094], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [857.0, 211.0, 1011.0, 424.0], 0.5630075931549072, 0.0
2, [[[708.0076293945312, 126.18637084960938], [753.7816162109375, 86.2908935546875], [659.2421264648438, 89.5048828125], [814.1893310546875, 130.69027709960938], [599.7879638671875, 139.88006591796875], [944.9703979492188, 404.73406982421875], [485.9836120605469, 405.9234619140625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [369.0, 9.0, 1084.0, 711.0], 0.9096362590789795, 0.0
2, [[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [1232.94140625, 308.52105712890625], [0.0, 0.0], [1229.4893798828125, 639.7536010742188], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [1164.0, 15.0, 1280.0, 707.0], 0.7483416199684143, 0.0
