Frame, Keypoints, Bounding Boxes, Confidence Scores, Classes
0, N/A, [371.0, 3.0, 1089.0, 711.0], 0.9403853416442871, 0.0
0, N/A, [1162.0, 18.0, 1280.0, 714.0], 0.7557089924812317, 0.0
0, N/A, [983.0, 218.0, 1164.0, 365.0], 0.7525843977928162, 0.0
0, N/A, [848.0, 216.0, 1011.0, 426.0], 0.6251174807548523, 0.0
1, N/A, [370.0, 4.0, 1087.0, 712.0], 0.9408605098724365, 0.0
1, N/A, [1162.0, 17.0, 1280.0, 713.0], 0.7327579259872437, 0.0
1, N/A, [986.0, 217.0, 1167.0, 359.0], 0.7277792096138, 0.0
1, N/A, [852.0, 208.0, 1007.0, 423.0], 0.7191307544708252, 0.0
2, N/A, [372.0, 4.0, 1087.0, 711.0], 0.9400447607040405, 0.0
2, N/A, [1162.0, 13.0, 1280.0, 713.0], 0.7310523390769958, 0.0
2, N/A, [985.0, 211.0, 1170.0, 358.0], 0.5354080200195312, 0.0
3, N/A, [373.0, 4.0, 1087.0, 711.0], 0.9410352110862732, 0.0
3, N/A, [1164.0, 12.0, 1280.0, 715.0], 0.7822073698043823, 0.0
3, N/A, [850.0, 206.0, 1005.0, 414.0], 0.661774754524231, 0.0
4, N/A, [373.0, 4.0, 1084.0, 711.0], 0.9396314024925232, 0.0
4, N/A, [1163.0, 14.0, 1280.0, 714.0], 0.7892265915870667, 0.0
4, N/A, [853.0, 210.0, 1005.0, 416.0], 0.6890860199928284, 0.0
5, N/A, [374.0, 4.0, 1085.0, 712.0], 0.9411031007766724, 0.0
5, N/A, [1163.0, 15.0, 1280.0, 715.0], 0.800340473651886, 0.0
5, N/A, [853.0, 208.0, 1007.0, 418.0], 0.7126086950302124, 0.0
6, N/A, [374.0, 4.0, 1086.0, 712.0], 0.9402965903282166, 0.0
6, N/A, [1163.0, 13.0, 1280.0, 714.0], 0.7868884205818176, 0.0
6, N/A, [850.0, 204.0, 1005.0, 416.0], 0.7016456127166748, 0.0
6, N/A, [985.0, 215.0, 1173.0, 426.0], 0.5394313335418701, 0.0
7, N/A, [374.0, 4.0, 1086.0, 712.0], 0.9406575560569763, 0.0
7, N/A, [1161.0, 13.0, 1280.0, 713.0], 0.7908257842063904, 0.0
7, N/A, [847.0, 204.0, 1008.0, 419.0], 0.6770561337471008, 0.0
7, N/A, [980.0, 215.0, 1173.0, 426.0], 0.6201212406158447, 0.0
8, N/A, [374.0, 4.0, 1087.0, 712.0], 0.9416201710700989, 0.0
8, N/A, [1160.0, 14.0, 1280.0, 713.0], 0.7792201638221741, 0.0
8, N/A, [850.0, 205.0, 1009.0, 417.0], 0.6545829772949219, 0.0
8, N/A, [970.0, 216.0, 1172.0, 428.0], 0.6299597024917603, 0.0
9, N/A, [373.0, 4.0, 1088.0, 712.0], 0.940815806388855, 0.0
9, N/A, [1160.0, 14.0, 1280.0, 712.0], 0.7745622396469116, 0.0
9, N/A, [844.0, 205.0, 1009.0, 421.0], 0.6857316493988037, 0.0
9, N/A, [989.0, 216.0, 1165.0, 427.0], 0.6176252365112305, 0.0
10, N/A, [374.0, 4.0, 1088.0, 712.0], 0.9404721260070801, 0.0
10, N/A, [1162.0, 12.0, 1280.0, 713.0], 0.7781922817230225, 0.0
10, N/A, [852.0, 202.0, 1006.0, 420.0], 0.7493530511856079, 0.0
10, N/A, [994.0, 216.0, 1171.0, 426.0], 0.6928094625473022, 0.0
11, N/A, [373.0, 4.0, 1088.0, 712.0], 0.941241443157196, 0.0
11, N/A, [1162.0, 13.0, 1280.0, 714.0], 0.7624790072441101, 0.0
11, N/A, [848.0, 204.0, 1009.0, 420.0], 0.7245433330535889, 0.0
11, N/A, [994.0, 217.0, 1173.0, 426.0], 0.6958557367324829, 0.0
12, N/A, [373.0, 4.0, 1089.0, 712.0], 0.9406670331954956, 0.0
12, N/A, [1163.0, 13.0, 1280.0, 715.0], 0.7745816707611084, 0.0
12, N/A, [995.0, 219.0, 1171.0, 429.0], 0.7555335760116577, 0.0
12, N/A, [848.0, 207.0, 1009.0, 424.0], 0.7197617292404175, 0.0
